id,entry,exit,side,level,ema,pattern,qty,entry_px,exit_px,pnl,reason,symbol,capital_before,capital_after,leverage,margin_mode,stop_loss_usd,target_usd
T-20251105-011,2025-11-05 20:02:00,2025-11-05 20:06:00,SELL,64800.0,64890.0,RED→GREEN,3.0,64780.0,64655.0,450.0,TARGET_HIT_ON_CLOSE,BTC/USDT:USDT,10650.0,11100.0,13,ISOLATED,100.0,450.0
T-20251112-012,2025-11-12 18:58:00,2025-11-12 19:01:00,BUY,65200.0,65120.0,GREEN→RED,3.15,65240.0,65145.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,11100.0,11000.0,13,ISOLATED,100.0,450.0
T-20251119-013,2025-11-19 19:44:00,2025-11-19 19:47:00,SELL,66100.0,66180.0,DOJI→GREEN,3.1,66080.0,66165.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,11000.0,10900.0,13,ISOLATED,100.0,450.0
T-20251127-014,2025-11-27 20:28:00,2025-11-27 20:30:00,BUY,65500.0,65420.0,RED→GREEN,3.05,65535.0,65440.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,10900.0,10800.0,13,ISOLATED,100.0,450.0
T-20251204-015,2025-12-04 18:36:00,2025-12-04 18:38:00,SELL,67200.0,67280.0,GREEN→RED,3.18,67170.0,67255.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,10800.0,10700.0,13,ISOLATED,100.0,450.0
T-20251211-016,2025-12-11 19:09:00,2025-12-11 19:12:00,BUY,66800.0,66720.0,DOJI→RED,3.12,66845.0,66750.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,10700.0,10600.0,13,ISOLATED,100.0,450.0
T-20251218-017,2025-12-18 20:17:00,2025-12-18 20:20:00,SELL,68100.0,68190.0,RED→GREEN,3.08,68080.0,68165.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,10600.0,10500.0,13,ISOLATED,100.0,450.0
T-20251223-018,2025-12-23 19:52:00,2025-12-23 19:55:00,BUY,67500.0,67420.0,GREEN→RED,3.0,67540.0,67445.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,10500.0,10400.0,13,ISOLATED,100.0,450.0
T-20260108-019,2026-01-08 18:49:00,2026-01-08 18:53:00,SELL,69200.0,69280.0,DOJI→GREEN,2.95,69180.0,69055.0,450.0,TARGET_HIT_ON_CLOSE,BTC/USDT:USDT,10400.0,10850.0,13,ISOLATED,100.0,450.0
T-20260115-020,2026-01-15 19:27:00,2026-01-15 19:29:00,BUY,68800.0,68720.0,RED→GREEN,3.02,68845.0,68750.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,10850.0,10750.0,13,ISOLATED,100.0,450.0
T-20260122-021,2026-01-22 20:08:00,2026-01-22 20:11:00,SELL,70100.0,70180.0,GREEN→RED,2.98,70080.0,70165.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,10750.0,10650.0,13,ISOLATED,100.0,450.0
T-20260129-022,2026-01-29 18:41:00,2026-01-29 18:44:00,BUY,69600.0,69520.0,DOJI→RED,2.92,69640.0,69792.0,450.0,TARGET_HIT_ON_CLOSE,BTC/USDT:USDT,10650.0,11100.0,13,ISOLATED,100.0,450.0
T-20260205-023,2026-02-05 19:16:00,2026-02-05 19:18:00,SELL,70800.0,70880.0,RED→GREEN,3.05,70780.0,70865.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,11100.0,11000.0,13,ISOLATED,100.0,450.0
T-20260212-024,2026-02-12 20:03:00,2026-02-12 20:06:00,BUY,70200.0,70120.0,GREEN→RED,3.0,70245.0,70150.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,11000.0,10900.0,13,ISOLATED,100.0,450.0
T-20260219-025,2026-02-19 18:54:00,2026-02-19 18:57:00,SELL,71400.0,71480.0,DOJI→GREEN,2.96,71380.0,71465.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,10900.0,10800.0,13,ISOLATED,100.0,450.0
T-20260226-026,2026-02-26 19:33:00,2026-02-26 19:36:00,BUY,70800.0,70720.0,RED→GREEN,2.9,70835.0,70740.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,10800.0,10700.0,13,ISOLATED,100.0,450.0
T-20260305-027,2026-03-05 20:12:00,2026-03-05 20:15:00,SELL,69400.0,69480.0,GREEN→RED,2.88,69380.0,69255.0,450.0,TARGET_HIT_ON_CLOSE,BTC/USDT:USDT,10700.0,11150.0,13,ISOLATED,100.0,450.0
T-20260306-028,2026-03-06 19:25:00,2026-03-06 19:27:00,SELL,69450.0,69520.0,RED→GREEN,2.91,69404.6,69277.9,285.0,TARGET_HIT_ON_CLOSE,BTC/USDT:USDT,11150.0,11435.0,13,ISOLATED,100.0,450.0
T-20260312-029,2026-03-12 18:47:00,2026-03-12 18:49:00,BUY,70100.0,70020.0,DOJI→RED,2.95,70140.0,70045.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,11435.0,11335.0,13,ISOLATED,100.0,450.0
T-20260315-030,2026-03-15 19:16:00,2026-03-15 19:19:00,BUY,71400.0,71320.0,GREEN→RED,2.88,71427.9,71332.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,11335.0,11235.0,13,ISOLATED,100.0,450.0
T-20260318-031,2026-03-18 20:01:00,2026-03-18 20:03:00,SELL,71800.0,71880.0,RED→GREEN,2.92,71780.0,71865.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,11235.0,11135.0,13,ISOLATED,100.0,450.0
T-20260321-032,2026-03-21 21:24:00,2026-03-21 21:26:00,SELL,70650.0,70720.0,DOJI→GREEN,2.85,70620.0,70705.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,11135.0,11035.0,13,ISOLATED,100.0,450.0
T-20260325-033,2026-03-25 19:08:00,2026-03-25 19:10:00,BUY,69900.0,69820.0,RED→GREEN,2.9,69935.0,69840.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,11035.0,10935.0,13,ISOLATED,100.0,450.0
T-20260328-034,2026-03-28 18:35:00,2026-03-28 18:40:00,SELL,66450.0,66520.0,GREEN→RED,2.87,66413.5,66498.0,-100.0,SL_HIT_ON_CLOSE,BTC/USDT:USDT,10935.0,10835.0,13,ISOLATED,100.0,450.0
